8:35 AM,7,SHELL-MH,20 bldg,IN,8
8:35 AM,14,G4-MH,3 wsq,IN,8
8:40 AM,1,MH-SL1,8 bldg,OUT,8
8:40 AM,6,MH-SHELL-SM,3 wsq,OUT,8
8:50 AM,5,MH-SHELL-SM,8 bldg,OUT,8
9:05 AM,2,MH-SL1,20 bldg,OUT,9
9:05 AM,7,MH-SHELL,20 bldg,OUT,9
9:10 AM,1,SL1-MH,8 bldg,IN,9
9:10 AM,3,PRO-P-MH,20 bldg,IN,9
9:10 AM,8,G4-MH,8 bldg,IN,9
9:10 AM,9,PRO-P-MH,20 bldg,IN,9
9:10 AM,4,MH-PRO-P,8 bldg,OUT,9
9:10 AM,12,MH-PRO-P,20 bldg,OUT,9
9:10 AM,14,MH-G4,3 wsq,OUT,9
9:20 AM,6,SHELL-MH,3 wsq,IN,9
9:30 AM,5,SHELL-MH,8 bldg,IN,9
9:35 AM,2,SL1-MH,20 bldg,IN,9
9:35 AM,7,SHELL-MH,20 bldg,IN,9
9:40 AM,1,MH-SL1,8 bldg,OUT,9
9:50 AM,6,MH-SHELL-SM,3 wsq,OUT,9
10:05 AM,14,G4-MH,3 wsq,IN,10
10:05 AM,2,MH-SL1,20 bldg,OUT,10
10:05 AM,7,MH-SHELL,20 bldg,OUT,10
10:10 AM,1,SL1-MH,8 bldg,IN,10
10:10 AM,12,PRO-P-MH,20 bldg,IN,10
10:10 AM,3,MH-PRO-P,20 bldg,OUT,10
10:10 AM,5,MH-SHELL-SM,8 bldg,OUT,10
10:30 AM,6,SHELL-MH,3 wsq,IN,10
10:35 AM,2,SL1-MH,20 bldg,IN,10
10:35 AM,7,SHELL-MH,20 bldg,IN,10
10:40 AM,3,PRO-P-MH,20 bldg,IN,10
10:40 AM,1,MH-SL1,8 bldg,OUT,10
10:40 AM,12,MH-PRO-P,20 bldg,OUT,10
10:50 AM,5,SHELL-MH,8 bldg,IN,10
10:55 AM,14,MH-G4,3 wsq,OUT,10
11:05 AM,2,MH-SL1,20 bldg,OUT,11
11:05 AM,7,MH-SHELL,20 bldg,OUT,11
11:10 AM,1,SL1-MH,8 bldg,IN,11
11:10 AM,6,MH-SHELL-SM,3 wsq,OUT,11
11:15 AM,4,PRO-P-MH,8 bldg,IN,11
